Nrotation, Ct, Cp
1.000000000000000000e+00,6.861347913557460654e-01,4.870824339923232049e-01
2.000000000000000000e+00,6.632608085829534428e-01,4.531688591320185422e-01
3.000000000000000000e+00,6.538707912028461910e-01,4.389296814369944011e-01
4.000000000000000000e+00,6.491154944677139937e-01,4.317279195672600878e-01
5.000000000000000000e+00,6.463536395704909676e-01,4.276264114305026176e-01
6.000000000000000000e+00,6.446784642087745043e-01,4.251553389678948691e-01
7.000000000000000000e+00,6.435978498383356783e-01,4.235654362681303686e-01
8.000000000000000000e+00,6.428621051047188617e-01,4.224871036700019178e-01
9.000000000000000000e+00,6.423441240276160924e-01,4.217272773576675182e-01
1.000000000000000000e+01,6.419666819728577778e-01,4.211731858747677637e-01
1.100000000000000000e+01,6.416836856404245504e-01,4.207574539359905663e-01
1.200000000000000000e+01,6.414663524146265727e-01,4.204379766496459947e-01
1.300000000000000000e+01,6.412960073701485797e-01,4.201874173488145403e-01
1.400000000000000000e+01,6.411601297058902027e-01,4.199874375392644854e-01
1.500000000000000000e+01,6.410500829686816004e-01,4.198253816005197980e-01
1.600000000000000000e+01,6.409597608388474255e-01,4.196922974798115713e-01
1.700000000000000000e+01,6.408847510377975176e-01,4.195817139729890455e-01
1.800000000000000000e+01,6.408218034432031640e-01,4.194888625066917620e-01
1.900000000000000000e+01,6.407684826284145707e-01,4.194101685360202003e-01
2.000000000000000000e+01,6.407229354290701062e-01,4.193429111838273271e-01
